pool_hash;ticker;name;cluster_id;cluster_name
0c2e0c5a062389a3fd6fafddae26344d490866d7a34cad981b20f96b;ACL;A CardanoLand pool ACL;19;cardanoland.com
3c00ba81c11fd7a22d070f1400895a548acbfc5b5ba6a4b9970e262c;1WJG;1WJG;;
7862852ab4afc9ecf783ff074760ad2f3bf52669713ddd67d6794512;OUROS;Ouros;;
6198d2070b6e70cc2a5e370a43dd49699960c88a084ffe390abe9a6a;COOL;COOL;4;stakecool.io
0ec6869e13bb1f39c8be3611e7cc00ba1ec2a22d7e4b197cec9aa2e3;CALM;CALM;4;stakecool.io
d918835729aaab9d4dca82c60079a6c643d65141f909730ecfeb3aef;COOL2;COOL2;4;stakecool.io
b31af8dc07b05f799805f82853f69dd8d9de48bb89f4371bc46f5cc9;CAKE;STAKE for CAKE;;
4f04025065314e75684cd38357ac6af703fcef705d9b4f638e3caf46;247;Staking 24/7;;
cc1008a2bff95e4fa408a8d8d4adfac342120307e0fb3c713fce8834;BPOOL;BetterStake;;
1b268f4cba3faa7e36d8a0cc4adca2096fb856119412ee7330f692b5;DIGI;Digital Fortress;9;digitalfortress.online
fb21d3e5ed7684742936778239a7bed2bcee1292964ddeb716d3a903;DIGI2;Digital Fortress;9;digitalfortress.online
acff1b97fad8a2be2e5ff68f52b231355e59ff51db62d3f49e70f736;CYOX;Cylonyx Staking;;
3409faed0879eeb5babb7784a5ca62d9e25cf8773e61484d0e06d880;1PP01;One Percent Pool! #1;;
2523d71a1bd6376804e0bace048289a63455eb6340db81e616a11f9c;RAMEN;RAMEN by Kiwipool Staking;56;kiwipool.org
c2c52eab0d713209b337d8ff8fe28e1ccae2f70eb7ed1ee27e8c866a;OCEA2;ADA Ocean Two;3;adaocean.com
374c1852bb8be71a2728c3b3cdc707d047e3055bde189835eff30a18;DECNT;Decentralized Reality;;
2437ad27ae35fa49013740e9548a010c4965b77909980d9f4685ef68;MARS;Mars Pool;;
9dff03e4b074c90bfda895a76e56611e7a67fa9373feb1db63e8ef57;DAN;Cardano Dan's Stake Pool;;
cd95ba0b846830803230a6ff7a51633a03ed1386cd6f2ac3c659bb22;CAZ;Cardano A-Z;;
0a627257cebd81cebc366f8796e6fa9dfec4a756c58c7316e617cc72;EPYC;EPYC;58;epycpool.com
3f4cb28fc23e50fe35a531858a8d5c29a2a539235822551e42266b92;SMART;Smart Stake;;
4f58313318902985e56ee0d63c1b3e8d71e17efa7a6add2bacd746ba;RODRI;Rodrigo;;
07377c78a5d32467d98c0387c97ba92ba8807ad72beb4e8025bf061f;EPYC2;EPYC;58;epycpool.com
660f20fb9d419173ac623786ad3e6dc11a23951981e0e83e98233d29;OCEA3;ADA Ocean Three;3;adaocean.com
6c907940885e39f6440a034665cc26481ef885a6c33ee50589e041e9;ADAAP;ADA ALPHA POOL;;
